StockCode,CurrentPrice,OptimalPrice,PriceChange(%),CurrentQuantity,EstimatedQuantity,CurrentRevenue,EstimatedRevenue,RevenueGain,RevenueGain(%),Elasticity
23558,12.5,10.0,-20.0,3,6,37.5,60.0,22.5,60.0,-6.03
23256,4.15,3.33,-19.74,4,18,16.6,59.95,43.35,261.16,-7.29
23454,4.15,3.32,-20.0,1,18,4.15,59.76,55.61,1340.0,-8.98
23457,4.95,3.96,-20.0,4,15,19.8,59.4,39.6,200.0,-8.12
21694,2.95,2.36,-20.0,6,25,17.7,59.0,41.3,233.33,-6.31
85132A,1.95,2.36,21.03,1,25,1.95,59.0,57.05,2925.64,-6.22
21131,1.25,3.1,148.0,6,19,7.5,58.9,51.4,685.33,-7.17
22221,2.95,7.31,147.76,6,8,17.7,58.47,40.77,230.34,-5.37
22072,1.25,2.77,121.58,24,21,30.0,58.17,28.17,93.88,-7.03
23076,1.25,1.0,-20.0,24,58,30.0,58.0,28.0,93.33,-4.05
21537,4.25,3.4,-20.0,8,17,34.0,57.8,23.8,70.0,-6.8
22268,0.19,0.46,141.18,2,126,0.38,57.74,57.36,15094.27,-9.02
75172,0.79,1.22,54.94,5,47,3.95,57.53,53.58,1356.41,-6.33
85048,7.95,6.36,-20.0,1,9,7.95,57.24,49.29,620.0,-5.77
21257,7.95,6.36,-20.0,2,9,15.9,57.24,41.34,260.0,-6.68
22570,3.39,3.01,-11.21,40,19,135.6,57.19,-78.41,-57.82,-7.53
23519,3.75,3.0,-20.0,6,19,22.5,57.0,34.5,153.33,-6.71
22073,3.75,3.0,-20.0,4,19,15.0,57.0,42.0,280.0,-7.62
23539,5.95,4.74,-20.26,4,12,23.8,56.93,33.13,139.22,-6.55
23255,4.15,3.34,-19.41,4,17,16.6,56.85,40.25,242.49,-7.01
23169,4.15,3.32,-20.03,1,17,4.15,56.42,52.27,1259.44,-7.0
84997B,4.15,3.27,-21.15,8,17,33.2,55.63,22.43,67.56,-6.97
23324,2.08,1.66,-20.0,3,33,6.24,54.91,48.67,780.0,-6.87
22838,12.75,13.64,6.96,48,4,612.0,54.55,-557.45,-91.09,3.6
22168,8.5,6.8,-20.0,1,8,8.5,54.4,45.9,540.0,-7.5
22978,3.75,3.02,-19.54,2,18,7.5,54.31,46.81,624.14,-6.48
22627,8.5,6.78,-20.26,4,8,34.0,54.22,20.22,59.48,-6.52
22569,3.75,3.01,-19.7,4,18,15.0,54.2,39.2,261.34,-7.22
22242,1.65,1.32,-20.0,1,41,1.65,54.12,52.47,3180.0,-7.14
22270,3.75,3.0,-20.0,4,18,15.0,54.0,39.0,260.0,-8.63
22785,1.25,4.85,287.85,12,11,15.0,53.33,38.33,255.53,-6.08
21754,6.25,4.84,-22.59,1,11,6.25,53.22,46.97,751.51,-6.53
23054,8.25,6.6,-20.0,2,8,16.5,52.8,36.3,220.0,-6.21
84997D,4.15,3.3,-20.53,8,16,33.2,52.77,19.57,58.94,-6.71
23541,8.25,6.59,-20.08,2,8,16.5,52.75,36.25,219.68,-6.67
84358,8.49,7.54,-11.25,5,7,42.45,52.75,10.3,24.26,-4.76
21292,0.19,0.66,246.78,96,80,18.24,52.71,34.47,188.98,-6.44
22215,2.95,5.86,98.53,6,9,17.7,52.71,35.01,197.79,-5.63
23535,5.95,4.76,-20.0,12,11,71.4,52.36,-19.04,-26.67,-5.85
84877D,1.25,1.33,6.67,1,39,1.25,52.0,50.75,4060.0,-7.5
23032,1.65,1.32,-20.0,3,39,4.95,51.48,46.53,940.0,-6.87
22960,4.25,3.43,-19.26,6,15,25.5,51.47,25.97,101.85,-5.55
17012E,0.5,1.22,144.0,24,42,12.0,51.24,39.24,327.0,-4.73
22282,12.75,10.2,-20.0,2,5,25.5,51.0,25.5,100.0,-5.44
22423,12.75,10.2,-20.0,10,5,127.5,51.0,-76.5,-60.0,-4.97
22236,12.75,10.2,-20.0,2,5,25.5,51.0,25.5,100.0,-5.22
90200E,4.25,3.4,-20.0,3,15,12.75,51.0,38.25,300.0,-7.19
23152,3.75,3.0,-20.0,2,17,7.5,51.0,43.5,580.0,-8.11
23480,3.75,3.0,-20.0,8,17,30.0,51.0,21.0,70.0,-6.15
23328,3.75,3.0,-20.03,4,17,15.0,50.98,35.98,239.87,-7.54
22794,7.95,6.36,-20.0,1,8,7.95,50.88,42.93,540.0,-6.94
85019B,1.25,1.1,-11.65,2,45,2.5,49.7,47.2,1887.83,-4.25
22781,7.65,6.12,-20.0,1,8,7.65,48.96,41.31,540.0,-6.33
21430,3.75,3.0,-20.0,1,16,3.75,48.0,44.25,1180.0,-7.67
23382,3.75,3.0,-20.0,1,16,3.75,48.0,44.25,1180.0,-6.33
23402,3.75,3.0,-20.0,1,16,3.75,48.0,44.25,1180.0,-5.96
23118,6.65,6.0,-9.77,16,8,106.4,48.0,-58.4,-54.89,-6.25
23112,6.65,6.0,-9.83,12,8,79.8,47.97,-31.83,-39.89,-6.55
23082,3.75,3.0,-20.09,6,16,22.5,47.95,25.45,113.09,-6.2
23172,1.65,1.33,-19.29,12,36,19.8,47.94,28.14,142.13,-5.29
22180,9.95,7.96,-20.0,1,6,9.95,47.76,37.81,380.0,-5.37
22796,9.95,7.96,-20.0,2,6,19.9,47.76,27.86,140.0,-4.89
23407,9.95,7.96,-20.0,2,6,19.9,47.76,27.86,140.0,-5.2
22120,9.95,7.96,-20.0,2,6,19.9,47.76,27.86,140.0,-4.88
22171,8.5,6.8,-20.0,4,7,34.0,47.6,13.6,40.0,-6.14
23209,1.65,1.32,-19.88,4,36,6.6,47.59,40.99,621.04,-6.42
23534,5.95,4.76,-20.05,1,10,5.95,47.57,41.62,699.54,-6.15
22625,8.5,6.79,-20.08,2,7,17.0,47.55,30.55,179.72,-6.38
23526,5.95,4.75,-20.1,4,10,23.8,47.54,23.74,99.75,-5.47
23249,1.65,1.32,-20.0,1,36,1.65,47.52,45.87,2780.0,-6.04
21622,4.95,3.96,-20.0,1,12,4.95,47.52,42.57,860.0,-5.57
23029,1.65,1.32,-20.0,6,36,9.9,47.52,37.62,380.0,-6.95
21246,4.95,3.96,-20.0,6,12,29.7,47.52,17.82,60.0,-5.82
23530,4.95,3.95,-20.22,12,12,59.4,47.39,-12.01,-20.22,-4.27
23482,1.65,1.32,-20.28,12,36,19.8,47.36,27.56,139.17,-6.95
22106,6.75,5.24,-22.37,2,9,13.5,47.16,33.66,249.33,-5.53
20665,2.95,2.36,-20.15,5,20,14.75,47.11,32.36,219.41,-6.61
72802C,4.25,3.33,-21.61,6,14,25.5,46.64,21.14,82.92,-4.67
84949,1.45,1.32,-8.97,72,35,104.4,46.2,-58.2,-55.75,-6.54
23542,6.67,6.6,-1.05,12,7,80.04,46.2,-33.84,-42.28,-5.94
23031,1.65,1.32,-20.0,6,35,9.9,46.2,36.3,366.67,-6.95
23019,8.25,6.6,-20.0,1,7,8.25,46.2,37.95,460.0,-7.12
79321,5.75,4.61,-19.82,2,10,11.5,46.1,34.6,300.9,-4.92
22444,1.25,1.0,-20.0,24,46,30.0,46.0,16.0,53.33,-4.18
23299,3.75,3.06,-18.51,2,15,7.5,45.84,38.34,511.2,-5.72
84858C,5.95,5.73,-3.7,1,8,5.95,45.84,39.89,670.42,-0.26
22969,1.45,1.17,-19.63,12,39,17.4,45.45,28.05,161.21,-4.87
22461,3.95,6.48,64.16,1,7,3.95,45.39,41.44,1049.14,-3.76
22786,1.25,4.54,263.11,2,10,2.5,45.39,42.89,1715.53,-6.07
22061,2.95,7.56,156.27,8,6,23.6,45.36,21.76,92.2,-4.5
23252,3.75,3.0,-20.0,1,15,3.75,45.0,41.25,1100.0,-6.85
22087,2.95,2.36,-20.0,6,19,17.7,44.84,27.14,153.33,-5.43
84795B,7.95,6.36,-20.0,2,7,15.9,44.52,28.62,180.0,-5.86
21527,7.95,6.36,-20.0,1,7,7.95,44.52,36.57,460.0,-5.43
84876D,1.25,1.92,53.85,2,23,2.5,44.23,41.73,1669.23,-3.97
72807B,3.81,3.4,-10.76,60,13,228.6,44.2,-184.4,-80.66,-7.13
84527,1.95,1.52,-22.05,1,29,1.95,44.08,42.13,2160.51,-5.89
20818,1.25,2.0,60.0,10,22,12.5,44.0,31.5,252.0,-6.0
23479,7.85,6.28,-20.0,2,7,15.7,43.96,28.26,180.0,-6.04
23489,2.89,2.31,-20.0,6,19,17.34,43.93,26.59,153.33,-5.97
23561,2.89,2.31,-20.0,6,19,17.34,43.93,26.59,153.33,-4.98
22170,6.75,5.48,-18.83,8,8,54.0,43.83,-10.17,-18.83,-4.89
22441,2.1,1.68,-20.06,8,26,16.8,43.65,26.85,159.82,-7.27
22198,1.65,1.32,-20.0,2,33,3.3,43.56,40.26,1220.0,-5.69
23206,1.65,1.32,-20.01,2,33,3.3,43.55,40.25,1219.81,-6.27
22165,3.95,8.71,120.42,12,5,47.4,43.53,-3.87,-8.16,-4.38
22854,4.95,3.96,-20.08,2,11,9.9,43.52,33.62,339.56,-5.22
47566,4.95,3.95,-20.1,1,11,4.95,43.5,38.55,778.85,-4.49
20932,1.25,3.62,189.44,1,12,1.25,43.42,42.17,3373.28,3.52
47021G,0.39,0.51,30.4,48,85,18.72,43.23,24.51,130.92,-5.81
21906,6.75,5.4,-20.0,2,8,13.5,43.2,29.7,220.0,-6.74
21351,6.75,5.4,-20.0,1,8,6.75,43.2,36.45,540.0,-6.17
85087,2.95,3.6,21.98,4,12,11.8,43.18,31.38,265.93,4.34
22795,6.75,5.39,-20.15,6,8,40.5,43.12,2.62,6.46,-6.24
84819,0.79,1.79,127.05,16,24,12.64,43.05,30.41,240.58,-3.78
21399,0.39,0.44,13.41,8,97,3.12,42.9,39.78,1275.05,-4.91
84997A,4.15,3.29,-20.62,4,13,16.6,42.83,26.23,157.99,-6.11
47570B,8.49,8.52,0.35,27,5,229.23,42.6,-186.63,-81.42,-5.31
22090,2.95,2.36,-19.84,12,18,35.4,42.57,7.17,20.24,-5.45
82001S,3.75,3.27,-12.69,3,13,11.25,42.56,31.31,278.33,-6.12
21745,3.75,3.04,-18.98,8,14,30.0,42.54,12.54,41.79,-7.17
23598,2.95,2.36,-20.0,6,18,17.7,42.48,24.78,140.0,-6.06
22863,2.95,2.36,-20.0,1,18,2.95,42.48,39.53,1340.0,-5.92
22088,2.95,2.36,-20.07,1,18,2.95,42.44,39.49,1338.67,-5.48
23681,1.65,1.32,-20.0,10,32,16.5,42.24,25.74,156.0,-6.49
21479,4.25,3.24,-23.85,4,13,17.0,42.07,25.07,147.49,-6.62
22866,2.1,1.68,-20.0,2,25,4.2,42.0,37.8,900.0,-6.54
23516,3.75,3.0,-20.0,1,14,3.75,42.0,38.25,1020.0,-6.8
21181,1.85,1.68,-9.23,48,25,88.8,41.98,-46.82,-52.72,-5.61
21319,0.39,0.95,144.48,4,44,1.56,41.95,40.39,2589.23,-6.65
85066,12.75,10.46,-18.0,4,4,51.0,41.82,-9.18,-18.0,-4.57
84796B,12.75,10.46,-18.0,1,4,12.75,41.82,29.07,228.0,-5.32
22526,12.75,10.46,-18.0,1,4,12.75,41.82,29.07,228.0,-5.58
84968A,12.75,10.46,-18.0,1,4,12.75,41.82,29.07,228.0,-5.45
72741,1.45,1.16,-20.0,9,36,13.05,41.76,28.71,220.0,-5.3
23409,3.75,2.98,-20.5,6,14,22.5,41.74,19.24,85.49,-4.9
23142,10.4,8.32,-20.0,1,5,10.4,41.6,31.2,300.0,-6.12
23085,10.4,8.32,-20.0,1,5,10.4,41.6,31.2,300.0,-4.54
23022,2.08,1.66,-20.0,6,25,12.48,41.6,29.12,233.33,-6.06
23314,12.5,10.25,-18.0,2,4,25.0,41.0,16.0,64.0,-4.36
23020,12.5,10.25,-18.0,1,4,12.5,41.0,28.5,228.0,-6.13
35957,0.19,0.27,44.56,96,149,18.24,40.93,22.69,124.37,-4.02
23165,1.45,1.32,-9.18,48,31,69.6,40.83,-28.77,-41.34,-5.8
84968F,12.75,10.2,-20.0,1,4,12.75,40.8,28.05,220.0,-5.83
21258,12.75,10.2,-20.0,2,4,25.5,40.8,15.3,60.0,-5.05
90200D,4.25,3.4,-20.0,3,12,12.75,40.8,28.05,220.0,-6.88
84968E,12.75,10.2,-20.0,1,4,12.75,40.8,28.05,220.0,-5.45
21361,12.75,10.2,-20.0,1,4,12.75,40.8,28.05,220.0,-5.75
22635,9.95,8.16,-18.0,1,5,9.95,40.8,30.85,310.0,-4.9
22607,9.95,8.16,-18.0,4,5,39.8,40.8,1.0,2.5,-4.77
22768,9.95,8.16,-18.0,12,5,119.4,40.8,-78.6,-65.83,-4.84
21648,1.25,0.99,-20.41,48,41,60.0,40.79,-19.21,-32.01,-4.65
21481,3.75,2.71,-27.73,4,15,15.0,40.65,25.65,171.0,-5.9
22442,1.95,5.06,159.59,12,8,23.4,40.5,17.1,73.06,-3.95
22326,2.95,2.37,-19.56,6,17,17.7,40.34,22.64,127.9,-5.1
23439,2.1,1.68,-20.0,36,24,75.6,40.32,-35.28,-46.67,-6.63
22957,2.95,2.36,-20.0,6,17,17.7,40.12,22.42,126.67,-5.7
22084,2.95,2.36,-20.0,6,17,17.7,40.12,22.42,126.67,-5.02
21249,2.95,2.36,-20.0,6,17,17.7,40.12,22.42,126.67,-5.35
21613,2.95,2.36,-20.0,2,17,5.9,40.12,34.22,580.0,-5.98
47351B,2.95,2.36,-20.0,4,17,11.8,40.12,28.32,240.0,-5.84
23077,1.25,1.0,-20.0,20,40,25.0,40.0,15.0,60.0,-3.16
22799,2.95,6.67,125.99,1,6,2.95,40.0,37.05,1255.92,-5.46
22742,0.79,2.1,166.42,12,19,9.48,39.99,30.51,321.83,-6.24
23104,12.5,9.96,-20.34,1,4,12.5,39.83,27.33,218.66,-4.07
22776,9.95,7.96,-20.0,2,5,19.9,39.8,19.9,100.0,-4.98
22618,9.95,7.96,-20.0,1,5,9.95,39.8,29.85,300.0,-5.57
22829,9.95,7.96,-20.0,1,5,9.95,39.8,29.85,300.0,-4.79
72760B,9.95,7.96,-20.0,2,5,19.9,39.8,19.9,100.0,-4.7
23414,9.95,7.96,-20.0,1,5,9.95,39.8,29.85,300.0,-4.85
22968,8.5,7.96,-6.35,24,5,204.0,39.8,-164.2,-80.49,-4.59
22634,9.95,7.96,-20.0,2,5,19.9,39.8,19.9,100.0,-4.68
22767,9.95,7.95,-20.06,2,5,19.9,39.77,19.87,99.84,-4.04
22763,9.95,7.95,-20.13,2,5,19.9,39.74,19.84,99.68,-4.77
22568,3.75,3.06,-18.52,12,13,45.0,39.72,-5.28,-11.73,-5.83
22555,1.65,1.32,-19.82,12,30,19.8,39.69,19.89,100.46,-6.1
22501,9.95,7.94,-20.25,12,5,119.4,39.68,-79.72,-66.77,-4.66
84029E,4.25,3.31,-22.21,8,12,34.0,39.67,5.67,16.69,-5.21
22553,1.65,1.32,-20.0,2,30,3.3,39.6,36.3,1100.0,-6.82
22611,4.95,3.96,-20.0,2,10,9.9,39.6,29.7,300.0,-5.44
22628,4.95,3.96,-20.0,16,10,79.2,39.6,-39.6,-50.0,-5.46
23298,4.95,3.96,-20.0,9,10,44.55,39.6,-4.95,-11.11,-4.75
22649,4.95,3.96,-20.07,1,10,4.95,39.57,34.62,699.29,-4.49
22243,1.65,1.32,-20.1,1,30,1.65,39.55,37.9,2297.06,-6.55
22801,3.39,3.04,-10.39,16,13,54.24,39.49,-14.75,-27.19,-6.1
21813,4.95,3.94,-20.31,1,10,4.95,39.44,34.49,696.86,-4.65
23189,2.89,2.31,-20.0,1,17,2.89,39.3,36.41,1260.0,-5.12
23024,2.49,2.31,-7.15,36,17,89.64,39.3,-50.34,-56.15,-4.32
47590B,5.45,4.36,-20.0,3,9,16.35,39.24,22.89,140.0,-5.38
84813,2.95,6.53,121.36,16,6,47.2,39.18,-8.02,-16.99,-1.68
23428,8.15,6.52,-20.0,2,6,16.3,39.12,22.82,140.0,-5.13
47367B,3.75,3.0,-20.0,2,13,7.5,39.0,31.5,420.0,-6.22
23520,3.75,3.0,-20.0,1,13,3.75,39.0,35.25,940.0,-7.05
22101,2.1,1.68,-20.0,6,23,12.6,38.64,26.04,206.67,-6.17
21755,6.25,4.83,-22.78,1,8,6.25,38.61,32.36,517.77,-5.43
20685,7.08,6.43,-9.24,10,6,70.8,38.55,-32.25,-45.55,-5.04
22668,2.95,2.41,-18.33,5,16,14.75,38.55,23.8,161.33,-5.16
23159,2.08,1.67,-19.56,6,23,12.48,38.48,26.0,208.35,-5.5
23154,2.08,1.67,-19.62,12,23,24.96,38.45,13.49,54.06,-5.63
78124,1.25,1.07,-14.67,14,36,17.5,38.4,20.9,119.43,-5.5
23543,4.15,6.39,54.03,2,6,8.3,38.35,30.05,362.09,-5.08
22083,2.95,2.39,-18.82,6,16,17.7,38.32,20.62,116.49,-4.94
21922,7.95,6.36,-20.0,2,6,15.9,38.16,22.26,140.0,-5.49
21197,1.65,1.23,-25.42,12,31,19.8,38.15,18.35,92.66,-3.79
22840,7.95,6.35,-20.11,4,6,31.8,38.11,6.31,19.84,-5.73
22841,7.95,6.35,-20.19,1,6,7.95,38.07,30.12,378.88,-5.49
22179,5.95,5.43,-8.66,24,7,142.8,38.04,-104.76,-73.36,-5.41
15058C,7.95,5.43,-31.75,1,7,7.95,37.98,30.03,377.73,-2.17
21629,7.95,6.33,-20.4,1,6,7.95,37.97,30.02,377.58,-6.29
22722,3.95,3.16,-20.0,1,12,3.95,37.92,33.97,860.0,-5.67
85123A,2.95,2.37,-19.69,1,16,2.95,37.91,34.96,1184.97,-4.78
23170,1.65,1.35,-18.18,12,28,19.8,37.8,18.0,90.91,-4.35
21643,1.06,0.99,-6.17,72,38,76.32,37.79,-38.53,-50.48,-5.61
22089,2.95,2.36,-20.0,6,16,17.7,37.76,20.06,113.33,-5.46
22669,2.95,2.36,-20.0,5,16,14.75,37.76,23.01,156.0,-5.31
22176,2.95,2.36,-20.0,5,16,14.75,37.76,23.01,156.0,-6.24
21609,2.95,2.36,-20.0,1,16,2.95,37.76,34.81,1180.0,-5.94
20802,1.65,1.18,-28.73,12,32,19.8,37.63,17.83,90.06,-4.41
85019A,1.25,1.44,15.56,2,26,2.5,37.56,35.06,1402.22,-3.07
22451,3.35,2.68,-20.0,3,14,10.05,37.52,27.47,273.33,-7.22
23360,1.95,1.56,-20.0,2,24,3.9,37.44,33.54,860.0,-5.23
20975,0.65,0.52,-20.04,1,72,0.65,37.42,36.77,5657.1,-7.26
23037,1.65,1.38,-16.12,12,27,19.8,37.37,17.57,88.73,-4.27
72807C,3.81,3.4,-10.85,60,11,228.6,37.36,-191.24,-83.66,-5.62
72807A,3.81,3.39,-10.92,56,11,213.36,37.34,-176.02,-82.5,-5.77
22060,3.95,4.12,4.3,4,9,15.8,37.08,21.28,134.68,-3.27
23562,2.89,2.31,-20.0,6,16,17.34,36.99,19.65,113.33,-5.6
23484,2.89,2.31,-20.0,8,16,23.12,36.99,13.87,60.0,-5.19
23518,2.89,2.31,-20.0,6,16,17.34,36.99,19.65,113.33,-6.1
21187,1.65,1.32,-20.0,2,28,3.3,36.96,33.66,1020.0,-6.65
22103,1.65,1.32,-20.0,6,28,9.9,36.96,27.06,273.33,-6.65
22128,1.25,1.0,-20.19,12,37,15.0,36.91,21.91,146.07,-4.68
23229,3.75,3.06,-18.37,6,12,22.5,36.73,14.23,63.26,-4.82
84917,5.95,2.45,-58.89,28,15,166.6,36.69,-129.91,-77.98,-1.44
23242,2.08,1.66,-20.0,1,22,2.08,36.61,34.53,1660.0,-7.42
23582,2.08,1.66,-20.05,10,22,20.8,36.58,15.78,75.88,-5.26
23162,7.46,3.05,-59.17,1,12,7.46,36.55,29.09,389.98,-5.24
71053,3.75,3.04,-18.86,1,12,3.75,36.51,32.76,873.62,-5.47
22943,10.79,4.03,-62.66,1,9,10.79,36.26,25.47,236.08,-4.58
21111,1.25,1.72,37.87,24,21,30.0,36.19,6.19,20.64,-2.74
22749,3.75,3.02,-19.59,4,12,15.0,36.18,21.18,141.22,-6.2
22336,0.19,0.35,86.34,94,102,17.86,36.11,18.25,102.19,-4.75
23412,7.5,6.0,-20.0,1,6,7.5,36.0,28.5,380.0,-4.78
37495,3.75,3.0,-20.0,4,12,15.0,36.0,21.0,140.0,-5.31
22848,10.0,12.0,20.0,1,3,10.0,36.0,26.0,260.0,6.9
23395,3.75,3.0,-20.06,2,12,7.5,35.97,28.47,379.67,-6.56
22622,11.95,8.98,-24.83,6,4,71.7,35.93,-35.77,-49.89,-3.28
23164,4.95,3.99,-19.43,4,9,19.8,35.89,16.09,81.28,-3.59
22699,2.95,2.39,-19.01,12,15,35.4,35.84,0.44,1.24,-4.75
22112,4.95,3.97,-19.88,6,9,29.7,35.7,6.0,20.19,-5.2
21192,1.65,1.32,-20.0,4,27,6.6,35.64,29.04,440.0,-6.74
23569,4.95,3.96,-20.0,3,9,14.85,35.64,20.79,140.0,-4.61
23113,4.95,3.96,-20.0,3,9,14.85,35.64,20.79,140.0,-4.76
22456,4.95,3.96,-20.0,3,9,14.85,35.64,20.79,140.0,-5.01
21651,1.65,1.32,-20.0,6,27,9.9,35.64,25.74,260.0,-6.44
22111,4.95,3.96,-20.02,6,9,29.7,35.63,5.93,19.97,-5.35
23355,4.95,3.96,-20.02,4,9,19.8,35.63,15.83,79.95,-4.4
23243,4.95,3.95,-20.15,12,9,59.4,35.57,-23.83,-40.11,-4.3
20902,6.35,5.08,-20.0,1,7,6.35,35.56,29.21,460.0,-6.36
22719,1.25,0.96,-23.32,16,37,20.0,35.47,15.47,77.33,-5.19
22328,2.95,2.36,-19.87,6,15,17.7,35.46,17.76,100.33,-4.93
